Brand,Model,Selling_price
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A1K,8490
OPPO,A1K,8490
OPPO,A5s,15677
OPPO,A37f,10000
OPPO,"F9 Pro",19990
OPPO,"F9 Pro",19990
OPPO,"F9 Pro",19990
OPPO,"F9 Pro",19990
OPPO,"F9 Pro",19990
OPPO,"F9 Pro",19990
OPPO,"F9 Pro",19990
OPPO,"F9 Pro",19990
OPPO,"F9 Pro",19990
OPPO,"F9 Pro",19990
OPPO,"F9 Pro",19990
OPPO,A3s,12000
OPPO,A3s,12000
OPPO,"F9 Pro",21150
OPPO,A83,14995
OPPO,A3s,9500
OPPO,"F9 Pro",21150
OPPO,A5s,13750
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A5s,12990
OPPO,A3s,12990
OPPO,A3s,12990
OPPO,A3s,12990
OPPO,A3s,12990
OPPO,A3s,12990
OPPO,A3s,12990
OPPO,A3s,12990
OPPO,A3s,12990
OPPO,A3s,9500
OPPO,A5,15000
OPPO,A5,15000
OPPO,A5,13500
OPPO,A5,15990
OPPO,A5,15990
OPPO,A5,15990
OPPO,A5,15990
OPPO,A5,15990
OPPO,A5,15990
OPPO,A5,15990
OPPO,A5,15990
OPPO,A5,15990
OPPO,A52,16990
OPPO,A52,16990
OPPO,A52,16990
OPPO,A52,16990
OPPO,A52,16990
OPPO,A52,16990
OPPO,A52,16990
OPPO,A52,16990
OPPO,A33,10490
OPPO,A33,10490
OPPO,A33,10490
OPPO,A33,10490
OPPO,A33,10490
OPPO,F17,22990
OPPO,F17,22990
OPPO,F17,22990
OPPO,F17,22990
OPPO,A15s,13489
OPPO,A15,8990
OPPO,A15,8990
OPPO,A15,8990
OPPO,A15,8990
OPPO,A15,8990
OPPO,A52,14990
OPPO,A52,14990
OPPO,A52,14990
OPPO,A52,14990
OPPO,A52,14990
OPPO,A52,14990
OPPO,A52,14990
OPPO,"Reno3 Pro",27990
OPPO,"Reno3 Pro",27990
OPPO,"Reno3 Pro",27990
OPPO,"Reno3 Pro",27990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A1K,7990
OPPO,A1K,7990
OPPO,A1K,7990
OPPO,A1K,7990
OPPO,A52,20990
OPPO,A52,20990
OPPO,A52,14990
OPPO,A52,14990
OPPO,A52,14990
OPPO,A52,14990
OPPO,A52,14990
OPPO,A52,14990
OPPO,A52,14990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,F5,14990
OPPO,F5,14990
OPPO,F5,14990
OPPO,F5,14990
OPPO,F5,14990
OPPO,F5,14990
OPPO,F5,14990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A83,9990
OPPO,A3s,13990
OPPO,A3s,13990
OPPO,A3s,13990
OPPO,A3s,13990
OPPO,A3s,13990
OPPO,A3s,13990
OPPO,A3s,13990
OPPO,A3s,13990
OPPO,A3s,13990
OPPO,A3s,13990
OPPO,A3s,13990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,A7,10990
OPPO,"A5 2020",14990
OPPO,"A5 2020",14990
OPPO,"A5 2020",14990
OPPO,"A5 2020",14990
OPPO,"A5 2020",14990
OPPO,"A5 2020",14990
OPPO,"A5 2020",14990
OPPO,A83,16990
OPPO,A83,16990
OPPO,A83,16990
OPPO,A83,16990
OPPO,A83,16990
OPPO,A83,16990
OPPO,A83,16990
OPPO,A83,16990
OPPO,F5,19990
OPPO,F5,19990
OPPO,F5,19990
OPPO,F5,19990
OPPO,F5,19990
OPPO,F5,19990
OPPO,F5,19990
OPPO,F5,19990
OPPO,F5,19990
OPPO,F5,19990
OPPO,F5,19990
OPPO,K3,24990
OPPO,A71k,10990
OPPO,A71k,10990
OPPO,A71k,10990
OPPO,A71k,10990
OPPO,A71k,10990
OPPO,A71k,10990
OPPO,A71k,10990
OPPO,A71k,10990
OPPO,A71k,10990
OPPO,A71k,10990
OPPO,A71k,10990
OPPO,A71k,10990
OPPO,A71k,10990
OPPO,A71k,10990
OPPO,A71k,10990
OPPO,"Neo 7 4G",8490
OPPO,"Neo 7 4G",8490
OPPO,K1,14990
OPPO,K1,14990
OPPO,K1,14990
OPPO,K1,14990
OPPO,K1,14990
OPPO,K1,14990
OPPO,K1,14990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K1,13990
OPPO,K3,30994
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
OPPO,A5s,10990
